time,open,high,low,close,Volume,CVD (Open),CVD (High,CVD (Low),CVD (Close)
2024-03-01T02:00:00+03:00,61203.30,63199.00,60844.80,62430.60,299231.8270,-225080.53,-225080.53,-225928.26,-225928.26
2024-03-02T02:00:00+03:00,62430.60,62513.10,61605.00,62039.90,159283.6290,-225928.26,-225928.26,-228897.79,-228897.79
2024-03-03T02:00:00+03:00,62039.90,63330.90,61339.50,63178.50,200312.5030,-228897.79,-227831.44,-228897.79,-227831.44
2024-03-04T02:00:00+03:00,63178.50,68600.00,62299.00,68296.40,632882.1440,-227831.44,-227831.44,-228804.59,-228804.59
2024-03-05T02:00:00+03:00,68296.50,69350.00,59112.00,63747.40,1053025.1320,-228804.59,-228804.59,-269579.38,-269579.38
2024-03-06T02:00:00+03:00,63747.50,67729.50,62829.30,66128.10,534011.8130,-269579.38,-269579.38,-273658.14,-273658.14
2024-03-07T02:00:00+03:00,66128.00,68101.30,65609.30,66870.00,296092.7880,-273658.14,-273658.14,-274441.43,-274441.43
2024-03-08T02:00:00+03:00,66870.00,70330.80,66120.00,68180.20,459387.2070,-274441.43,-270691.15,-274441.43,-270691.15
2024-03-09T02:00:00+03:00,68180.20,68608.70,67908.70,68360.10,94899.0050,-270691.15,-270691.15,-274427.60,-274427.60
2024-03-10T02:00:00+03:00,68360.20,69999.80,68155.00,69001.80,233596.5230,-274427.60,-274427.60,-275701.31,-275701.31
2024-03-11T02:00:00+03:00,69001.80,72890.00,67000.00,72153.80,474396.8970,-275701.31,-273784.59,-275701.31,-273784.59
2024-03-12T02:00:00+03:00,72153.90,73370.00,68600.00,71503.20,472072.3310,-273784.59,-273784.59,-282377.87,-282377.87
2024-03-13T02:00:00+03:00,71503.30,73755.00,71388.10,73127.60,288446.3380,-282377.87,-281289.78,-282377.87,-281289.78
2024-03-14T02:00:00+03:00,73127.60,73881.40,68600.00,71455.50,513901.2370,-281289.78,-281289.78,-289908.78,-289908.78
2024-03-15T02:00:00+03:00,71455.60,72500.00,65580.00,69552.20,705810.6850,-289908.78,-289908.78,-309118.01,-309118.01
